feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
n_opponents_10m,"(-0.001, 1.0]",0.9887536873156342,5424,1424,0.26253687315634217,0.2509977526770303,0.2744121266385341
n_opponents_10m,"(1.0, 2.0]",2.0,5158,1422,0.2756882512601784,0.26366343254722086,0.2880469492668976
n_opponents_10m,"(2.0, 3.0]",3.0,2314,720,0.3111495246326707,0.2926121021110855,0.3303129502307138
n_opponents_10m,"(3.0, 9.0]",4.417951042611061,1103,356,0.3227561196736174,0.29582067123772043,0.3509219159581349
