feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
nearest_opponent_dist,"(0.206, 1.196]",0.8307154347004192,1400,453,0.32357142857142857,0.299576131756895,0.34853231580584987
nearest_opponent_dist,"(1.196, 1.683]",1.4507706078517633,1400,442,0.3157142857142857,0.2918989911743262,0.34053817267663805
nearest_opponent_dist,"(1.683, 2.093]",1.8890093300399322,1400,426,0.30428571428571427,0.2807465920449288,0.3288959773161728
nearest_opponent_dist,"(2.093, 2.471]",2.2878879303171105,1400,388,0.27714285714285714,0.25433079062177694,0.3011746168259008
nearest_opponent_dist,"(2.471, 2.86]",2.6652258840600784,1400,364,0.26,0.23770175377317193,0.2836117619397118
nearest_opponent_dist,"(2.86, 3.282]",3.0687501033462325,1399,362,0.25875625446747674,0.23648931465836254,0.2823444581638861
nearest_opponent_dist,"(3.282, 3.788]",3.5217251754865506,1400,400,0.2857142857142857,0.2626614842149017,0.30993986910017307
nearest_opponent_dist,"(3.788, 4.432]",4.093810552619247,1400,393,0.2807142857142857,0.25780063266690567,0.3048280855588541
nearest_opponent_dist,"(4.432, 5.502]",4.899976894412685,1400,367,0.2621428571428571,0.23977795965184306,0.28580954252788987
nearest_opponent_dist,"(5.502, 18.635]",6.939256727753566,1400,327,0.23357142857142857,0.21215537895827902,0.2564456369967974
