feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
action_under_pressure,Ball Receipt*,0,1956,542,0.2770961145194274,0.2577129052509996,0.2973531776405974
action_under_pressure,Carry,1,5914,1508,0.2549881636794048,0.2440411410676003,0.26625328790123187
action_under_pressure,Dribble,2,518,219,0.42277992277992277,0.38095933891594774,0.4657374365040265
action_under_pressure,Other,3,3965,1391,0.35081967213114756,0.33611602144560837,0.365812117989334
action_under_pressure,Pass,4,3605,811,0.22496532593619972,0.21163139669875758,0.23888480218345437
