feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
had_tackle,0,0,14117,3252,0.2303605581922505,0.22348850670116982,0.23737932146000723
had_tackle,1,1,1841,1219,0.6621401412275937,0.640216472203173,0.6833885462439392
