team_name,ranking_no_time,player_name,minutes_played,total_pressures_abs,pressures_per_90,residuo_medio,ranking_residual,ranking_intensidade_p90
Russia,1,Aleksandr Golovin,279,62,20.0,0.06734826553456441,39,36
Russia,2,Artem Dzyuba,267,29,9.775280898876405,0.046767412544930935,63,192
Russia,3,Georgiy Dzhikiya,279,24,7.741935483870968,0.02945078897005765,82,223
Russia,4,Igor Diveev,234,31,11.923076923076923,-0.00046476725943711013,135,160
Russia,5,Magomed Ozdoev,211,54,23.033175355450236,-0.002064362385150031,138,17
Scotland,1,Grant Campbell Hanley,218,34,14.036697247706423,0.08690438061236348,27,122
Scotland,2,Che Adams,217,38,15.76036866359447,0.04275201061200701,70,98
Scotland,3,Scott McTominay,280,49,15.749999999999998,0.022786885764395807,97,100
Scotland,4,John McGinn,280,77,24.750000000000004,0.008967374702115007,123,12
Scotland,5,Andrew Robertson,280,41,13.178571428571429,-0.028647539981212798,173,136
Slovakia,1,Ľubomír Šatka,284,23,7.288732394366198,0.09877494765389716,21,230
Slovakia,2,Marek Hamšík,259,39,13.552123552123552,0.09111688254858549,24,128
Slovakia,3,Juraj Kucka,284,89,28.20422535211268,0.05989729850623747,47,9
Slovakia,4,Lukáš Haraslín,187,31,14.919786096256685,0.04453039325161928,67,111
Slovakia,5,Tomáš Hubočan,272,56,18.52941176470588,0.03594109443152318,75,56
Spain,1,Gerard Moreno Balaguero,297,32,9.696969696969697,0.2599109988591672,4,195
Spain,2,Rodrigo Hernández Cascante,245,33,12.122448979591837,0.10129233163931013,20,154
Spain,3,Aymeric Laporte,658,37,5.060790273556231,0.09121634877628361,23,249
Spain,4,Pedro González López,649,104,14.422187981510016,0.06425394661411545,44,116
Spain,5,Pau Francisco Torres,395,22,5.012658227848101,0.05863333783288775,48,250
Sweden,1,Victor Nilsson Lindelöf,411,20,4.37956204379562,0.06614470927071536,41,251
Sweden,2,Alexander Isak,327,43,11.8348623853211,0.04969748865043588,61,162
Sweden,3,Emil Peter Forsberg,375,50,12.0,0.04424431343305752,68,157
Sweden,4,Albin Ekdal,402,68,15.223880597014926,0.02855992102259217,84,108
Sweden,5,Sebastian Larsson,383,67,15.744125326370758,0.0008105804683319779,133,101
Switzerland,1,Manuel Obafemi Akanji,536,65,10.914179104477613,0.0913396402373347,22,175
Switzerland,2,Ruben Vargas,190,31,14.68421052631579,0.06567491902835303,42,112
Switzerland,3,Mario Gavranović,181,38,18.895027624309392,0.05758477929136782,50,53
