player_id,player_name,team_name,minutes_played,total_pressures_abs,pressures_per_90,residuo_medio,ranking_residual,ranking_intensidade_p90,dif_ranking
8819,Alexander Isak,Sweden,327,43,11.8348623853211,0.04969748865043588,61,162,101
3166,Marco Verratti,Italy,399,76,17.142857142857142,0.0491868794034587,62,75,13
5195,Artem Dzyuba,Russia,267,29,9.775280898876405,0.046767412544930935,63,192,129
10287,İlkay Gündoğan,Germany,227,36,14.273127753303966,0.04664055882110185,64,118,54
6840,Marcos Llorente Moreno,Spain,268,28,9.402985074626866,0.046446342901964824,65,203,138
24455,Paulus Arajuuri,Finland,283,25,7.95053003533569,0.04588208809523836,66,220,154
7975,Lukáš Haraslín,Slovakia,187,31,14.919786096256685,0.04453039325161928,67,111,44
5625,Emil Peter Forsberg,Sweden,375,50,12.0,0.04424431343305752,68,157,89
7044,Patrik Schick,Czech Republic,403,49,10.942928039702233,0.042938510853393674,69,174,105
9466,Che Adams,Scotland,217,38,15.76036866359447,0.04275201061200701,70,98,28
5468,Domagoj Vida,Croatia,401,26,5.835411471321696,0.04174985513930595,71,244,173
23454,Petr Ševčík,Czech Republic,237,41,15.569620253164556,0.04077156883874983,72,103,31
8118,Frenkie de Jong,Netherlands,363,68,16.859504132231404,0.03773073013835213,73,78,5
8307,Martin Hinteregger,Austria,402,42,9.402985074626866,0.036072387755223256,74,203,129
4421,Tomáš Hubočan,Slovakia,272,56,18.52941176470588,0.03594109443152318,75,56,-19
5527,Thomas Delaney,Denmark,457,71,13.982494529540483,0.034979905337346594,76,123,47
18617,Mykola Matviyenko,Ukraine,496,47,8.528225806451612,0.033833539574729274,77,214,137
6983,Remo Freuler,Switzerland,526,106,18.136882129277566,0.032604931941593154,78,61,-17
26939,Joona Toivio,Finland,270,31,10.333333333333334,0.031083473444308216,79,185,106
5460,Andrej Kramarić,Croatia,231,53,20.649350649350648,0.030920350282938363,80,32,-48
4767,Chris Mepham,Wales,287,33,10.348432055749129,0.030231802033272862,81,184,103
16583,Georgiy Dzhikiya,Russia,279,24,7.741935483870968,0.02945078897005765,82,223,141
5204,Bruno Miguel Borges Fernandes,Portugal,215,42,17.58139534883721,0.029118568466630274,83,69,-14
5624,Albin Ekdal,Sweden,402,68,15.223880597014926,0.02855992102259217,84,108,24
7119,Francesco Acerbi,Italy,238,21,7.9411764705882355,0.027853657787072897,85,221,136
8808,Matthias Ginter,Germany,348,28,7.241379310344827,0.027377860593354404,86,231,145
12293,Kaan Ayhan,Turkey,188,27,12.925531914893618,0.027127391888736235,87,142,55
10931,Joe Allen,Wales,349,68,17.535816618911173,0.026749656279900873,88,71,-17
3089,Kevin De Bruyne,Belgium,284,52,16.47887323943662,0.02662166488766815,89,82,-7
8125,Denzel Dumfries,Netherlands,330,64,17.454545454545453,0.02652780282438732,90,72,-18
3167,Antonio Rüdiger,Germany,380,38,9.0,0.02612347215329372,91,210,119
7131,Domenico Berardi,Italy,393,85,19.46564885496183,0.02590403758244179,92,45,-47
8400,Serge Gnabry,Germany,253,43,15.296442687747035,0.02576857110244795,93,107,14
2988,Memphis Depay,Netherlands,332,48,13.012048192771084,0.023940883884351987,94,138,44
8779,Stefan Lainer,Austria,394,80,18.274111675126903,0.023912663767672142,95,60,-35
6782,Enis Bardhi,North Macedonia,234,29,11.153846153846153,0.023442193517848375,96,172,76
3620,Scott McTominay,Scotland,280,49,15.749999999999998,0.022786885764395807,97,100,3
7162,Ádám Nagy,Hungary,275,36,11.781818181818183,0.022638921950546967,98,163,65
3517,Aaron Ramsey,Wales,363,77,19.09090909090909,0.02213755039772347,99,50,-49
7037,Lorenzo Insigne,Italy,507,65,11.538461538461537,0.02166878780261141,100,167,67
16514,Serhii Sydorchuk,Ukraine,384,70,16.40625,0.02136713578850982,101,84,-17
13197,Tomáš Kalas,Czech Republic,471,35,6.687898089171974,0.02072792875337479,102,237,135
5545,Breel-Donald Embolo,Switzerland,374,73,17.566844919786096,0.020338908361637355,103,70,-33
24977,Christoph Baumgartner,Austria,247,58,21.133603238866396,0.0199401359883549,104,29,-75
3233,Raheem Sterling,England,655,67,9.206106870229007,0.019769260767603006,105,207,102
7039,Hakan Çalhanoğlu,Turkey,274,60,19.708029197080293,0.01962118381513571,106,41,-65
3382,Luke Shaw,England,591,76,11.573604060913704,0.019619526807088054,107,166,59
23558,Merih Demiral,Turkey,237,42,15.949367088607595,0.019190341661183042,108,97,-11
3086,Ben Davies,Wales,294,46,14.081632653061225,0.01858463289221754,109,120,11
16535,Eljif Elmas,North Macedonia,282,42,13.404255319148936,0.01776663278017427,110,132,22
5203,Sergio Busquets i Burgos,Spain,403,83,18.535980148883375,0.01645502144921745,111,55,-56
3570,Pierre-Emile Højbjerg,Denmark,594,104,15.757575757575758,0.014725356808284091,112,99,-13
4355,Emerson Palmieri dos Santos,Italy,300,30,9.0,0.014720341383323114,113,210,97
19677,Karim Benzema,France,350,33,8.485714285714286,0.014663646070210276,114,215,101
11252,Daniel James,Wales,317,54,15.33123028391167,0.014381454334790955,115,106,-9
15416,Jukka Raitala,Finland,256,61,21.4453125,0.01370837374333601,116,25,-91
5209,Raphaël Adelino José Guerreiro,Portugal,379,42,9.973614775725594,0.012769556536746393,117,189,72
24321,Robin Lod,Finland,280,95,30.53571428571429,0.012644123044942604,118,4,-114
