feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
n_teammates_10m,"(0.999, 2.0]",1.52514539856312,8769,2244,0.25590147109134453,0.24687633182138008,0.2651403903316792
n_teammates_10m,"(2.0, 3.0]",3.0,3110,940,0.3022508038585209,0.2863626711483885,0.3186268697454065
n_teammates_10m,"(3.0, 4.0]",4.0,1432,482,0.3365921787709497,0.31258299628659436,0.36147575782667274
n_teammates_10m,"(4.0, 9.0]",5.3648255813953485,688,256,0.37209302325581395,0.3367777087307311,0.4088288000423753
