feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
pressing_compactness,"(1.4200000000000002, 6.736]",5.769787535618075,1399,405,0.2894924946390279,0.26632884230714343,0.3138090720518261
pressing_compactness,"(6.736, 7.769]",7.294156308866925,1398,408,0.2918454935622318,0.2686107196321455,0.316221118715354
pressing_compactness,"(7.769, 8.615]",8.19741238467243,1398,415,0.2968526466380544,0.27348622859482213,0.3213324727477547
pressing_compactness,"(8.615, 9.408]",9.012639366208456,1398,384,0.27467811158798283,0.25192144444409337,0.2986697207774266
pressing_compactness,"(9.408, 10.25]",9.825038254344014,1399,423,0.3023588277340958,0.2788597931925004,0.3269403199492825
pressing_compactness,"(10.25, 11.12]",10.668353312779539,1398,369,0.26394849785407726,0.24151244408671693,0.287678300431066
pressing_compactness,"(11.12, 12.077]",11.599975558937906,1398,367,0.2625178826895565,0.2401258870214219,0.28621146806919606
pressing_compactness,"(12.077, 13.266]",12.647719508559943,1398,416,0.29756795422031473,0.27418301093185593,0.3220623851243033
pressing_compactness,"(13.266, 14.891]",14.009979240323238,1398,383,0.2739628040057225,0.2512269790132684,0.2979374914946692
pressing_compactness,"(14.891, 26.887]",16.582800274083255,1399,348,0.24874910650464618,0.22680499304269588,0.27206929183736467
