feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
numerical_superiority,"(-6.001, -1.0]",-1.361781706902414,2941,759,0.25807548452907175,0.24258351695817845,0.27419864205506017
numerical_superiority,"(-1.0, 0.0]",0.0,5238,1395,0.2663230240549828,0.25452644985286477,0.27846210897729895
numerical_superiority,"(0.0, 1.0]",1.0,3725,1091,0.29288590604026843,0.27849065554278124,0.30770791078945453
numerical_superiority,"(1.0, 2.0]",2.0,1515,468,0.3089108910891089,0.28615200390198375,0.33263642011800615
numerical_superiority,"(2.0, 6.0]",3.239655172413793,580,209,0.3603448275862069,0.3223088912725684,0.40021858878366606
