feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
voronoi_n_opp_neighbors,"(-0.001, 1.0]",0.6475770925110133,8626,2538,0.294226756318108,0.28470338441691184,0.303933329378623
voronoi_n_opp_neighbors,"(1.0, 2.0]",2.0,3697,944,0.2553421693264809,0.24154483523666748,0.2696474297875908
voronoi_n_opp_neighbors,"(2.0, 3.0]",3.0,1222,323,0.26432078559738137,0.24036243145387395,0.2897563049309902
voronoi_n_opp_neighbors,"(3.0, 5.0]",4.097276264591439,257,71,0.27626459143968873,0.22519470555294396,0.3339246987138601
