feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
voronoi_area_carrier,"(1.9260000000000002, 25.424]",17.247897447210747,1381,502,0.36350470673425056,0.3385462359211284,0.389220463172833
voronoi_area_carrier,"(25.424, 37.612]",31.71039559328451,1380,426,0.30869565217391304,0.28488136445638035,0.3335720770357674
voronoi_area_carrier,"(37.612, 50.408]",43.98979220414801,1380,433,0.31376811594202897,0.2898311087980375,0.3387390975030306
voronoi_area_carrier,"(50.408, 63.847]",56.93551567696757,1380,391,0.2833333333333333,0.26018502618563927,0.3076845912619068
voronoi_area_carrier,"(63.847, 82.921]",72.8013400161077,1380,381,0.27608695652173915,0.25314556935176047,0.3002715269401852
voronoi_area_carrier,"(82.921, 111.68]",96.13495866238208,1380,364,0.263768115942029,0.24119629654784253,0.28765151377958226
voronoi_area_carrier,"(111.68, 162.28]",133.6091319921104,1380,386,0.2797101449275362,0.2566643452922851,0.30397901157746066
voronoi_area_carrier,"(162.28, 284.807]",216.83602690125437,1380,352,0.25507246376811593,0.2327754669345017,0.27872931800620254
voronoi_area_carrier,"(284.807, 629.218]",416.3036887951345,1380,355,0.2572463768115942,0.2348795668913591,0.2809609743960252
voronoi_area_carrier,"(629.218, 6161.282]",1454.3462707079782,1381,286,0.20709630702389573,0.1865505211327577,0.2292671435012337
