feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
voronoi_area_presser,"(3.487, 32.3]",22.20649973715842,1381,452,0.3272990586531499,0.30305970049920905,0.3524965739512408
voronoi_area_presser,"(32.3, 47.472]",40.12359089170968,1380,416,0.30144927536231886,0.27781625606826954,0.32618466426827775
voronoi_area_presser,"(47.472, 62.125]",54.86484021034096,1380,410,0.2971014492753623,0.2735806055313019,0.32174880211188506
voronoi_area_presser,"(62.125, 79.193]",70.56676637894397,1380,390,0.2826086956521739,0.25948073868597615,0.3069436266460099
voronoi_area_presser,"(79.193, 100.361]",89.29653855404436,1380,362,0.26231884057971017,0.23979200978341603,0.28616529631288873
voronoi_area_presser,"(100.361, 129.197]",113.6626767239451,1380,319,0.23115942028985506,0.20968124103780889,0.2541302240894138
voronoi_area_presser,"(129.197, 176.349]",150.50116783125273,1380,368,0.26666666666666666,0.24400583443563625,0.2906229843540288
voronoi_area_presser,"(176.349, 274.103]",218.95466574452897,1380,363,0.26304347826086955,0.24049411280755462,0.28690844540431015
voronoi_area_presser,"(274.103, 579.208]",391.5910615091693,1380,405,0.29347826086956524,0.2700528813798506,0.3180502656855362
voronoi_area_presser,"(579.208, 7259.767]",1473.343462358498,1381,391,0.2831281679942071,0.259993760261901,0.3074657961234646
