feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
trigger_type,Ball Receipt*,0,4009,1023,0.2551758543277625,0.24191928903638535,0.26890117295244564
trigger_type,Carry,1,4000,1029,0.25725,0.2439409730912106,0.2710248537287114
trigger_type,Dribble,2,199,65,0.32663316582914576,0.26529239870282717,0.394540692734038
trigger_type,Other,3,3713,1247,0.33584702396983573,0.32083217028468625,0.35120120342701555
trigger_type,Pass,4,4037,1107,0.2742135248947238,0.2606712366293054,0.28818512042265115
