feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
had_block,0,0,14976,4164,0.2780448717948718,0.2709266806422164,0.2852769043142493
had_block,1,1,982,307,0.31262729124236255,0.2844106580305557,0.3423042219258186
